0,1,2,3,4,5,6,7,8,9,10
chocolate,citrus fruit,bottled beer,bottled water,red/blush wine,,,,,,
whole milk,pastry,,,,,,,,,
butter milk,sliced cheese,rolls/buns,,,,,,,,
meat,other vegetables,,,,,,,,,
dessert,other vegetables,,,,,,,,,
frankfurter,frankfurter,long life bakery product,newspapers,pip fruit,whipped/sour cream,hygiene articles,,,,
fruit/vegetable juice,white bread,,,,,,,,,
citrus fruit,brown bread,cat food,,,,,,,,
butter,beef,,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
frankfurter,onions,,,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,sausage,domestic eggs,citrus fruit,dishes,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
brown bread,curd,,,,,,,,,
coffee,shopping bags,,,,,,,,,
tropical fruit,pudding powder,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
whole milk,chocolate,,,,,,,,,
chicken,whole milk,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
chicken,house keeping products,,,,,,,,,
pork,cake bar,,,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,pip fruit,brown bread,,,,,,,,
frankfurter,margarine,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
beverages,soda,,,,,,,,,
pork,liver loaf,canned beer,whole milk,,,,,,,
coffee,baking powder,,,,,,,,,
beef,mustard,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
bottled water,other vegetables,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
frozen meals,newspapers,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
shopping bags,margarine,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
berries,whole milk,,,,,,,,,
whole milk,white bread,,,,,,,,,
pork,brown bread,,,,,,,,,
pastry,brown bread,,,,,,,,,
chocolate,margarine,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pot plants,citrus fruit,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
pork,flour,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
pork,brown bread,,,,,,,,,
margarine,UHT-milk,brown bread,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
berries,curd,,,,,,,,,
root vegetables,snack products,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
margarine,domestic eggs,,,,,,,,,
whole milk,margarine,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
butter,domestic eggs,,,,,,,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
frozen meals,dental care,,,,,,,,,
soda,curd,rolls/buns,,,,,,,,
root vegetables,pastry,other vegetables,rolls/buns,,,,,,,
oil,waffles,,,,,,,,,
chicken,butter,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
baking powder,pickled vegetables,,,,,,,,,
dessert,mustard,white bread,,,,,,,,
hamburger meat,margarine,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pork,beverages,frozen fish,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
curd cheese,soda,,,,,,,,,
chicken,butter,,,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
whole milk,long life bakery product,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
citrus fruit,oil,specialty chocolate,,,,,,,,
pip fruit,other vegetables,flour,,,,,,,,
whipped/sour cream,softener,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
chicken,soda,,,,,,,,,
soda,processed cheese,,,,,,,,,
chicken,other vegetables,,,,,,,,,
sweet spreads,berries,whole milk,yogurt,pip fruit,root vegetables,root vegetables,specialty chocolate,softener,,
baking powder,bottled water,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
soda,liquor (appetizer),,,,,,,,,
beef,liquor (appetizer),frozen vegetables,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
soda,snack products,whole milk,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
tropical fruit,grapes,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
dishes,brown bread,,,,,,,,,
hygiene articles,rolls/buns,red/blush wine,,,,,,,,
soda,bottled water,,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
white bread,cream cheese ,,,,,,,,,
pip fruit,white wine,whole milk,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
liquor,sugar,,,,,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
salty snack,bottled water,,,,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
meat,waffles,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,herbs,chocolate,,,,,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
kitchen towels,sliced cheese,,,,,,,,,
pip fruit,brandy,,,,,,,,,
rolls/buns,soda,,,,,,,,,
coffee,specialty fat,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
domestic eggs,frozen fish,,,,,,,,,
grapes,bottled beer,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
grapes,butter,newspapers,pip fruit,,,,,,,
coffee,soda,,,,,,,,,
butter,dog food,,,,,,,,,
ham,chicken,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
napkins,whole milk,,,,,,,,,
meat,domestic eggs,,,,,,,,,
brown bread,waffles,,,,,,,,,
ham,soft cheese,fruit/vegetable juice,sugar,,,,,,,
onions,whipped/sour cream,red/blush wine,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
sausage,pork,soda,salt,,,,,,,
pork,tropical fruit,seasonal products,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
dishes,bottled water,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
ham,beverages,margarine,,,,,,,,
whole milk,brown bread,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
